Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_458.jpg;0;0;1;0;99.66999;85.58897;0.0002361169;56.82556;6.676621E-08
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_489.jpg;0;0;0;0;99.66999;85.58897;0.0002361322;56.82556;1.562655E-08
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_543.jpg;0;0;0;0;99.66999;85.58897;0.0002361322;56.82556;1.562655E-08
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_610.jpg;-3.956451;0;0;0;99.66999;85.58897;0.0002354021;56.23233;1.742402E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_678.jpg;-3.931752;0;0;0;99.66999;85.58897;0.0002352818;55.04593;6.444885E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_750.jpg;0.3780026;0;0;0;99.66999;85.58897;0.0002351154;54.97886;7.818212E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_815.jpg;4.485518;0;0;0;99.66999;85.58897;0.0002350025;55.53912;5.170074E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_877.jpg;8.140673;0;0;0;99.66999;85.58897;0.0002357037;57.28239;-2.552501E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_48_946.jpg;4.156914;0;0;0;99.66999;85.58897;0.0002358766;58.15197;-6.392886E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_010.jpg;0.1093932;0;0;0;99.66999;85.58897;0.00023523;58.40422;-7.368182E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_078.jpg;-3.831485;0;0;0;99.66999;85.58897;0.0002360022;57.72287;-4.313149E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_145.jpg;-7.876968;0;0;0;99.66999;85.58897;0.0002368548;56.42409;1.395798E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_211.jpg;-12.08508;0;0;0;99.66999;85.58897;0.000236956;54.51229;9.263207E-06
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_280.jpg;-15;0;0;0;99.66999;85.58897;0.0002367619;51.04285;2.148185E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_345.jpg;-15;0;0;0;99.66999;85.58897;0.0002348555;48.34289;2.871561E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_416.jpg;-15;0;0;0;99.66999;85.58897;0.0002350541;45.64293;3.646801E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_480.jpg;-15;0;0;0;99.66999;85.58897;0.0002344887;42.04298;4.291633E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_546.jpg;-10.95712;0;0;0;99.66999;85.58897;0.000233615;39.95101;4.375022E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_620.jpg;-6.998421;0;0;0;99.66999;85.58897;0.0002340982;38.45145;4.181218E-05
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_683.jpg;-2.954622;0.20219;0;0;99.67069;85.58945;0.01882547;38.53724;-0.001379336
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_748.jpg;1.167092;0.4082756;0;0.02231821;99.67185;85.59037;0.04941574;38.58158;-0.001210255
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_812.jpg;1.20151;0.6015862;0;0.05584485;99.67561;85.5935;0.1515987;38.65337;0.0009947163
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_879.jpg;0;0.800447;0;0.07562456;99.68372;85.59998;0.3532654;38.77511;0.0003369135
G:\RoboND\IMG\robocam_2018_07_23_18_58_49_946.jpg;0;1;0;0.1124771;99.69269;85.60714;0.5506337;38.77383;-0.0008463821
